,name,rating,reviews,company_type,Head_Quarters,Company_Age,No_of_Employee
1459,Adani Group,4.1,(4.4k Reviews),Public,Ahmedabad + 56 more,34 years old,10k-50k Employees (India)
1460,Pamac Finserve,3.6,(328 Reviews),Private,"Mumbai,Maharashtra + 44 more",27 years old,501-1k Employees (India)
1461,Kellogg,4.4,(328 Reviews),Private,"Battle Creek,Michigan + 48 more",116 years old,1k-5k Employees (India)
1462,First Flight Cou...,3.9,(328 Reviews),Private,"Mumbai,Maharashtra + 71 more",34 years old,1k-5k Employees (India)
1463,Pearson Educatio...,4.1,(328 Reviews),Private,"Noida,Uttar Pradesh + 55 more",22 years old,1k-5k Employees (India)
1464,Apar Industries,3.8,(327 Reviews),Public,"Vadodara/Baroda,Gujarat + 32 more",64 years old,1k-5k Employees (India)
1465,Hema Engineering...,3.6,(327 Reviews),Private,"Gurgaon/Gurugram,Haryana + 22 more",38 years old,201-500 Employees (India)
1466,Sterling Holiday...,3.9,(327 Reviews),Public,"Chennai,Tamil Nadu + 45 more",36 years old,1k-5k Employees (India)
1467,Webhelp,4.2,(327 Reviews),Private,Paris + 7 more,22 years old,1k-5k Employees (India)
1468,Ukb Electronics,4.2,(327 Reviews),Private,"Noida,Uttar Pradesh + 13 more",26 years old,1k-5k Employees (India)
1469,Ukb Electronics,4.2,(327 Reviews),Private,"Noida,Uttar Pradesh + 13 more",26 years old,1k-5k Employees (India)
1470,K12 Techno Servi...,3.3,(326 Reviews),Private,"Bangalore/Bengaluru,Karnataka + 17 more",12 years old,1k-5k Employees (India)
1471,Ramada,3.9,(326 Reviews),Private,"Gurgaon/Gurugram,Haryana + 37 more",12 years old,201-500 Employees (India)
1472,Bharat Serums an...,4.0,(326 Reviews),Private,"Mumbai,Maharashtra + 34 more",51 years old,1k-5k Employees (India)
1473,Action Construct...,3.8,(326 Reviews),Public,"Delhi/NCR,New Delhi + 31 more",27 years old,1k-5k Employees (India)
1474,TIAA Global Busi...,4.4,(326 Reviews),Private,"Manhattan,New York + 3 more",104 years old,1k-5k Employees (India)
1475,Stock Holding Co...,3.9,(326 Reviews),Public,"Mumbai,Maharashtra + 78 more",36 years old,201-500 Employees (India)
1476,ICFAI University,3.8,(326 Reviews),Private,"Dehradun,Uttarakhand + 59 more",19 years old,501-1k Employees (India)
1477,RuralShores,4.2,(326 Reviews),Private,"Bangalore,Karnataka + 32 more",14 years old,1k-5k Employees (India)
1478,Infinx,3.8,(325 Reviews),Private,"Mumbai,Maharashtra + 15 more",16 years old,1k-5k Employees (India)
1479,Exicom,3.9,(325 Reviews),Public,"Gurgaon,Haryana + 20 more",28 years old,501-1k Employees (India)
1480,NoBrokerHOOD,4.1,(325 Reviews),Pune + 17 more,501-1k Employees (India),,
1481,Tecnimont,3.9,(324 Reviews),Private,"Mumbai,Maharashtra + 17 more",17 years old,1k-5k Employees (India)
1482,Lite Bite Foods,4.3,(324 Reviews),Private,"Gurgaon/Gurugram,Haryana + 17 more",21 years old,1k-5k Employees (India)
1483,MCM Telecom Equi...,3.8,(324 Reviews),Private,"Noida,Uttar Pradesh + 3 more",7 years old,501-1k Employees (India)
1484,Omax Autos,3.5,(323 Reviews),Public,"Gurgaon/Gurugram,Haryana + 16 more",39 years old,1k-5k Employees (India)
1485,Almarai,4.5,(323 Reviews),Private,"Riyadh,Central Province + 24 more",45 years old,501-1k Employees (India)
1486,Magna Internatio...,3.9,(323 Reviews),Public,Aurora + 12 more,65 years old,1k-5k Employees (India)
1487,Maharashtra Stat...,4.5,(323 Reviews),Private,"Mumbai,Maharashtra + 58 more",17 years old,50k-1 Lakh Employees (India)
1488,Csc E Governance...,4.1,(323 Reviews),Public,"Delhi,NCT + 107 more",13 years old,201-500 Employees (India)
1489,Supertech,4.0,(322 Reviews),Private,"Noida,Uttar Pradesh + 17 more",34 years old,1k-5k Employees (India)
1490,Hapag-Lloyd,4.2,(322 Reviews),Private,Hamburg + 7 more,175 years old,1k-5k Employees (India)
1491,Centaur Pharmace...,4.0,(322 Reviews),Private,"Mumbai,Maharashtra + 38 more",44 years old,1k-5k Employees (India)
1492,Aequs,4.0,(322 Reviews),Private,"Belagavi/Belgaum,Karnataka + 5 more",25 years old,1k-5k Employees (India)
1493,Forbes Marshall,4.3,(322 Reviews),Private,"Pune,Maharashtra + 18 more",97 years old,1k-5k Employees (India)
1494,Khazana Jeweller...,3.9,(322 Reviews),Private,"Chennai,Tamil Nadu + 42 more",33 years old,201-500 Employees (India)
1495,PPG Asian Paints,4.1,(321 Reviews),Private,"Mumbai,Maharashtra + 44 more",25 years old,501-1k Employees (India)
1496,Kantar IMRB,3.7,(321 Reviews),Private,"Mumbai,Maharashtra + 24 more",52 years old,1 Lakh+ Employees (India)
1497,Hitachi Astemo,4.2,(321 Reviews),Neemrana + 16 more,201-500 Employees (India),,
1498,Visteon,3.8,(320 Reviews),Private,"Detroit,Michigan + 9 more",22 years old,1k-5k Employees (India)
1499,Srei Equipment F...,4.5,(320 Reviews),Public,Kolkata + 75 more,33 years old,1k-5k Employees (India)
1500,Colt Technology ...,4.3,(320 Reviews),Private,"London,England + 4 more",30 years old,1k-5k Employees (India)
1501,iMerit,4.2,(319 Reviews),Private,"Kolkata,West Bengal + 7 more",10 years old,1k-5k Employees (India)
1502,ERA Group,3.4,(319 Reviews),Public,"Mumbai,Maharashtra + 35 more",32 years old,1k-5k Employees (India)
1503,Updater Services,4.0,(319 Reviews),Private,"Chennai,Tamil Nadu + 39 more",37 years old,50k-1 Lakh Employees (India)
1504,Kalyan Jewellers,4.0,(319 Reviews),Private,Thrissur + 73 more,29 years old,1k-5k Employees (India)
1505,Kaya Skin Clinic,4.0,(319 Reviews),Public,"Mumbai,Maharashtra + 34 more",19 years old,1k-5k Employees (India)
1506,Molex,3.9,(318 Reviews),Private,"Lisle,Illinois + 8 more",84 years old,1k-5k Employees (India)
1507,Sona Koyo Steeri...,4.2,(318 Reviews),Private,"Gurgaon/Gurugram,Haryana + 14 more",38 years old,1k-5k Employees (India)
1508,Bharat Gears,4.1,(318 Reviews),Public,"Mumbai,Maharashtra + 15 more",50 years old,501-1k Employees (India)
1509,Trident Hotels,4.2,(318 Reviews),Private,New Delhi + 20 more,88 years old,1k-5k Employees (India)
1510,Balkrishna Indus...,4.3,(318 Reviews),Public,"Mumbai,Maharashtra + 8 more",35 years old,1k-5k Employees (India)
1511,HighRadius,3.5,(318 Reviews),Private,"Houston,Texas + 2 more",16 years old,1k-5k Employees (India)
1512,Jaypee Cement,4.1,(318 Reviews),Private,"Solan,Himachal Pradesh + 65 more",26 years old,1k-5k Employees (India)
1513,Hitachi,4.0,(4.3k Reviews),Private,"Delhi/NCR,New Delhi + 61 more",92 years old,1k-5k Employees (India)
1514,Vijay Nirman Com...,4.0,(317 Reviews),Private,"Visakhapatnam/Vizag,Andhra Pradesh + 28 more",40 years old,5k-10k Employees (India)
1515,MasterCard,4.3,(317 Reviews),Private,"Purchase,New York + 9 more",22 years old,1k-5k Employees (India)
1516,Keventer Agro,4.0,(317 Reviews),Private,Kolkata + 40 more,36 years old,1k-5k Employees (India)
1517,Onward Technolog...,3.3,(316 Reviews),Public,"Eindhoven,North Brabant + 25 more",31 years old,201-500 Employees (India)
1518,Triveni Engineer...,4.2,(316 Reviews),Public,"Mysore/Mysuru,Karnataka + 38 more",90 years old,5k-10k Employees (India)
1519,Cpf India,4.2,(316 Reviews),Private,"Bangalore/Bengaluru,Karnataka + 39 more",28 years old,501-1k Employees (India)
1520,Agility Logistic...,4.2,(316 Reviews),Private,Sulaibiya + 36 more,43 years old,1k-5k Employees (India)
1521,Karvy DigiKonnec...,3.1,(316 Reviews),Hyderabad + 16 more,7 years old,10k-50k Employees (India),
1522,Canon,4.4,(326 Reviews),Private,"Ota City,Tokyo + 49 more",85 years old,1k-5k Employees (India)
1523,Vestige,4.4,(315 Reviews),Private,"Delhi/NCR,Delhi + 81 more",18 years old,10k-50k Employees (India)
1524,Salcomp Manufact...,4.2,(315 Reviews),Private,Salo + 7 more,16 years old,501-1k Employees (India)
1525,Ziqitza Health C...,4.3,(315 Reviews),Public,"Mumbai,Maharashtra + 34 more",17 years old,5k-10k Employees (India)
1526,Jiva Ayurvedic P...,3.8,(314 Reviews),Private,"Faridabad,Haryana + 34 more",30 years old,1k-5k Employees (India)
1527,Jtekt Sona Autom...,4.2,(314 Reviews),Public,"Gurgaon/Gurugram,Haryana + 15 more",15 years old,51-200 Employees (India)
1528,Asb Internationa...,4.2,(314 Reviews),Private,"Thane,Maharashtra + 9 more",25 years old,501-1k Employees (India)
1529,Pristyn Care,4.2,(314 Reviews),Private,"Delhi,NCT + 16 more",4 years old,1k-5k Employees (India)
1530,Patel Engineerin...,4.0,(313 Reviews),Public,"Mumbai,Maharashtra + 34 more",73 years old,1k-5k Employees (India)
1531,BankBazaar,3.5,(313 Reviews),Private,"Chennai,Tamil Nadu + 6 more",14 years old,501-1k Employees (India)
1532,Medica Superspec...,3.4,(313 Reviews),Private,"Kolkata,West Bengal + 17 more",14 years old,1k-5k Employees (India)
1533,Sanghi Industrie...,3.8,(313 Reviews),Public,"Ahmedabad,Gujarat + 19 more",37 years old,201-500 Employees (India)
1534,Cigniti Technolo...,4.1,(313 Reviews),Public,"Irving,Texas + 4 more",24 years old,1k-5k Employees (India)
1535,Dr. Batras' Posi...,3.6,(313 Reviews),Private,Mumbai + 74 more,40 years old,201-500 Employees (India)
1536,Nomura Holdings,3.9,(335 Reviews),Public,"Mumbai,Maharashtra + 5 more",13 years old,1k-5k Employees (India)
1537,Baker Hughes,4.2,(312 Reviews),Private,"Boston,Massachusetts + 32 more",6 years old,1k-5k Employees (India)
1538,Bunge India,4.0,(312 Reviews),Private,"Chesterfield,Missouri + 35 more",22 years old,1k-5k Employees (India)
1539,Siyaram Silk Mil...,4.1,(312 Reviews),Public,"Mumbai,Maharashtra + 28 more",44 years old,1k-5k Employees (India)
1540,Competent Softwa...,3.8,(311 Reviews),Private,"Delhi/NCR,New Delhi + 6 more",30 years old,1k-5k Employees (Global)
1541,Allied Digital S...,3.7,(311 Reviews),Public,"Mumbai,Maharashtra + 26 more",27 years old,1k-5k Employees (India)
1542,GlobalData,3.9,(311 Reviews),Private,London + 3 more,38 years old,1k-5k Employees (India)
1543,Doosan Power Sys...,4.0,(311 Reviews),Private,Crawley + 24 more,12 years old,501-1k Employees (India)
1544,Pace Setters Bus...,3.6,(310 Reviews),Mumbai + 13 more,16 years old,201-500 Employees (India),
1545,PrimEra Medical ...,3.5,(310 Reviews),Private,"Hyderabad/Secunderabad,Telangana",7 years old,1k-5k Employees (India)
1546,Xavient Digital ...,3.9,(310 Reviews),Private,"Simi Valley,California + 5 more",20 years old,1k-5k Employees (India)
1547,Poly Medicure,3.6,(310 Reviews),Public,"Delhi/NCR,Delhi + 25 more",25 years old,1k-5k Employees (India)
1548,BMC Software,4.5,(309 Reviews),Private,"Houston,Texas + 14 more",42 years old,1k-5k Employees (India)
1549,Microtek Interna...,3.7,(309 Reviews),Private,"Delhi/NCR,Delhi + 54 more",42 years old,201-500 Employees (India)
1550,NJ India Invest,3.9,(309 Reviews),Private,Surat + 62 more,28 years old,1k-5k Employees (India)
1551,IDEMIA,3.9,(309 Reviews),Private,"Courbevoie,Courbevoie + 22 more",5 years old,1k-5k Employees (India)
1552,Nykaa,3.6,(309 Reviews),Public,"Mumbai,Maharashtra + 33 more",10 years old,1k-5k Employees (India)
1553,Maini Precision ...,3.7,(308 Reviews),Private,"Bangalore/Bengaluru,Karnataka + 4 more",49 years old,1k-5k Employees (India)
1554,HIL,4.3,(308 Reviews),Public,"Hyderabad/Secunderabad,Telangana + 44 more",76 years old,1k-5k Employees (India)
1555,Aptech,3.7,(308 Reviews),Public,"Mumbai,Maharashtra + 62 more",36 years old,201-500 Employees (India)
1556,Adani Enterprise...,4.1,(308 Reviews),Public,"Mumbai,Maharashtra + 37 more",34 years old,1k-5k Employees (India)
1557,Hetero Healthcar...,3.9,(308 Reviews),Private,"Hyderabad/Secunderabad,Telangana + 45 more",16 years old,501-1k Employees (India)
1558,CWT,4.3,(308 Reviews),Private,Minnetonka + 10 more,28 years old,1k-5k Employees (India)
1559,HIL,4.3,(308 Reviews),Public,"Hyderabad/Secunderabad,Telangana + 44 more",76 years old,1k-5k Employees (India)
1560,Hetero Healthcar...,3.9,(308 Reviews),Private,"Hyderabad/Secunderabad,Telangana + 45 more",16 years old,501-1k Employees (India)
1561,CMC,4.2,(307 Reviews),Public,"Bhopal,Madhya Pradesh + 47 more",54 years old,10k-50k Employees (India)
1562,RAK Ceramics,4.0,(307 Reviews),Private,"Ras Al Khaimah,Ras Al Khaimah + 38 more",33 years old,501-1k Employees (India)
1563,The Akshaya Patr...,4.3,(307 Reviews),NGO/NPO,"Bangalore/Bengaluru,Karnataka + 50 more",22 years old,1k-5k Employees (India)
1564,Deloitte Touche ...,3.9,(307 Reviews),"Bangalore/Bengaluru,Karnataka + 20 more",12 years old,50k-1 Lakh Employees (India),
1565,KFin Technologie...,3.8,(307 Reviews),"Hyderabad,Telangana + 18 more",19 years old,1k-5k Employees (India),
1566,VRL Logistics,4.1,(322 Reviews),Public,"Hubballi,Karnataka + 71 more",39 years old,10k-50k Employees (India)
1567,Thermo Fisher Sc...,4.1,(314 Reviews),Private,"Waltham,Massachusetts + 22 more",66 years old,1k-5k Employees (India)
1568,Gandhi Automatio...,4.1,(306 Reviews),Private,"Mumbai,Maharashtra + 14 more",26 years old,501-1k Employees (India)
1569,Ferrero,4.1,(306 Reviews),Private,"Pune,Maharashtra + 49 more",18 years old,501-1k Employees (India)
1570,PropTiger.com,4.1,(306 Reviews),Private,"Gurgaon,Haryana + 12 more",11 years old,51-200 Employees (India)
1571,Top Office Pros ...,4.9,(306 Reviews),Pune + 5 more,11-50 Employees (India),,
1572,ACTE,4.8,(306 Reviews),"Chennai,Tamil Nadu + 9 more",11 years old,1-10 Employees (India),
1573,Kajaria Ceramics,4.2,(305 Reviews),Public,"Delhi/NCR,New Delhi + 46 more",37 years old,1k-5k Employees (India)
1574,Hexagon Nutritio...,4.2,(305 Reviews),Private,"Mumbai,Maharashtra + 25 more",31 years old,501-1k Employees (India)
1575,Ramboll,4.3,(305 Reviews),Private,"Copenhagen,Denmark + 21 more",16 years old,1k-5k Employees (India)
1576,J K Fenner,3.7,(305 Reviews),Private,"Chennai,Tamil Nadu + 27 more",35 years old,201-500 Employees (India)
1577,L & W Constructi...,3.8,(305 Reviews),Private,"Bangalore/Bengaluru,Karnataka + 15 more",16 years old,1k-5k Employees (India)
1578,MagicBricks,3.5,(305 Reviews),Private,"Noida,Uttar Pradesh + 19 more",16 years old,501-1k Employees (India)
1579,Triumphant Insti...,3.9,(305 Reviews),Private,Hyderabad + 63 more,30 years old,201-500 Employees (India)
1580,Shalby Hospitals,3.9,(326 Reviews),Public,"Ahmedabad,Gujarat + 15 more",28 years old,1k-5k Employees (India)
1581,Infrastructure L...,4.0,(304 Reviews),Private,Mumbai + 67 more,35 years old,501-1k Employees (India)
1582,St. Xavier's Hig...,4.0,(304 Reviews),Private,"Mumbai,Maharashtra + 81 more",153 years old,1k-5k Employees (Global)
1583,Finastra,4.0,(304 Reviews),Private,"Toronto,Ontario + 10 more",5 years old,1k-5k Employees (India)
1584,Amadeus,4.1,(304 Reviews),Private,Madrid + 12 more,10 years old,1k-5k Employees (India)
1585,Hilti,3.9,(304 Reviews),Private,Schaan + 29 more,81 years old,501-1k Employees (India)
1586,Gujarat Heavy Ch...,4.1,(304 Reviews),Public,"Noida,Uttar Pradesh + 20 more",39 years old,1k-5k Employees (India)
1587,Fena,4.2,(304 Reviews),Private,"Delhi/NCR,Delhi + 54 more",46 years old,201-500 Employees (India)
1588,Soma Enterprises,4.2,(304 Reviews),Private,"Hyderabad/Secunderabad,Telangana + 42 more",25 years old,1k-5k Employees (India)
1589,Bombardier Trans...,4.2,(303 Reviews),Private,"Montreal,Berlin + 12 more",27 years old,201-500 Employees (India)
1590,SKH Metals,3.8,(303 Reviews),Private,Gurgaon + 7 more,16 years old,1k-5k Employees (India)
1591,Labournet Servic...,3.9,(303 Reviews),Private,"Bangalore,Karnataka + 41 more",16 years old,51-200 Employees (India)
1592,N.C.L. Industrie...,4.0,(302 Reviews),Public,"Hyderabad/Secunderabad,Telangana + 47 more",42 years old,501-1k Employees (India)
1593,Orient Electric,4.2,(302 Reviews),Public,"Delhi/NCR,Delhi + 36 more",68 years old,501-1k Employees (India)
1594,Jayaswal Neco In...,4.2,(302 Reviews),Public,"Nagpur,Maharashtra + 20 more",50 years old,1k-5k Employees (India)
1595,Maersk Line,4.4,(302 Reviews),Public,"Copenhagen,Copenhagen + 19 more",118 years old,501-1k Employees (India)
1596,H & R Johnson,3.9,(302 Reviews),Private,Staffordshire + 58 more,26 years old,201-500 Employees (India)
1597,Sarovar Hotels &...,4.1,(302 Reviews),Private,"Gurgaon/Gurugram,Haryana + 49 more",26 years old,1k-5k Employees (India)
1598,Chandigarh Unive...,3.4,(301 Reviews),Private,"Mohali,Punjab + 29 more",10 years old,1k-5k Employees (India)
1599,Brainvire,4.7,(301 Reviews),Private,"Plano,Texas + 5 more",22 years old,501-1k Employees (India)
1600,CDK Global,4.1,(301 Reviews),Private,"Hoffman Estates,Illinois + 1 more",8 years old,1k-5k Employees (India)
1601,Xceedance,3.9,(300 Reviews),Private,"Boston,Massachusetts + 6 more",9 years old,1k-5k Employees (India)
1602,MothersonSumi IN...,3.3,(300 Reviews),Private,Noida + 11 more,22 years old,1k-5k Employees (India)
1603,Aptiv,4.2,(305 Reviews),Private,Dublin + 17 more,28 years old,1k-5k Employees (India)
1604,Aerial Telecom S...,3.6,(299 Reviews),Private,"Mohali,Punjab + 54 more",12 years old,501-1k Employees (India)
1605,Dr. Reddy's Foun...,4.1,(299 Reviews),Private,"Hyderabad/Secunderabad,Telangana + 62 more",26 years old,501-1k Employees (India)
1606,Deccan Fine Chem...,3.7,(299 Reviews),Private,"Hyderabad/Secunderabad,Telangana + 10 more",14 years old,1k-5k Employees (India)
1607,EdgeVerve System...,3.7,(299 Reviews),Private,"Bangalore/Bengaluru,Karnataka + 9 more",8 years old,1k-5k Employees (India)
1608,Emami Agrotech,3.8,(299 Reviews),Public,"Kolkata,West Bengal + 33 more",20 years old,1k-5k Employees (India)
1609,Ness Technologie...,3.8,(299 Reviews),Private,"Teaneck,New Jersey + 8 more",24 years old,1k-5k Employees (India)
1610,Tata Internation...,4.1,(298 Reviews),Public,"Mumbai,Maharashtra + 32 more",60 years old,1k-5k Employees (India)
1611,Descon Engineeri...,4.3,(298 Reviews),Private,Lahore + 17 more,45 years old,201-500 Employees (India)
1612,Prime Focus Tech...,3.5,(298 Reviews),Private,"Mumbai,Maharashtra + 11 more",14 years old,1k-5k Employees (India)
1613,QUICK HEAL TECHN...,3.7,(298 Reviews),Public,"Pune,Maharashtra + 34 more",29 years old,1k-5k Employees (India)
1614,Hpl Electric & P...,3.5,(298 Reviews),Private,"Noida,Uttar Pradesh + 42 more",30 years old,1k-5k Employees (India)
1615,Okaya Power,3.7,(298 Reviews),Private,"Delhi/NCR,Delhi + 54 more",35 years old,1k-5k Employees (India)
1616,Coats,4.0,(298 Reviews),Private,Middlesex + 38 more,48 years old,501-1k Employees (India)
1617,TCI Express,4.2,(298 Reviews),Public,Gurugram + 54 more,26 years old,1k-5k Employees (India)
1618,Shriram Value Se...,4.0,(477 Reviews),Private,"Chennai,Tamil Nadu + 26 more",16 years old,1k-5k Employees (India)
1619,Audi,4.1,(308 Reviews),Private,"Ingolstadt,Bavaria + 46 more",113 years old,201-500 Employees (India)
1620,National Informa...,4.3,(297 Reviews),Private,New Delhi + 38 more,46 years old,501-1k Employees (India)
1621,Castrol,4.3,(297 Reviews),Public,"Pangbourne,Berkshire + 66 more",123 years old,1k-5k Employees (India)
1622,Pyramid IT Consu...,3.8,(297 Reviews),Private,"Atlanta,Georgia + 19 more",26 years old,51-200 Employees (India)
1623,eMids Technologi...,4.0,(297 Reviews),Private,"Bangalore/Bengaluru,Karnataka + 2 more",23 years old,1k-5k Employees (India)
1624,PC Jewellers,3.7,(297 Reviews),Public,"Delhi/NCR,Delhi + 59 more",17 years old,1k-5k Employees (India)
1625,Bristlecone,3.8,(297 Reviews),Private,"Pune,Maharashtra + 9 more",24 years old,1k-5k Employees (India)
1626,Nephroplus,4.0,(296 Reviews),Private,Hyderabad + 62 more,13 years old,501-1k Employees (India)
1627,STUP Consultants,4.0,(296 Reviews),Private,"Mumbai,Maharashtra + 38 more",59 years old,1k-5k Employees (India)
1628,Aegis Essar,3.6,(296 Reviews),"Mumbai,Maharashtra + 22 more",19 years old,5k-10k Employees (India),
1629,Lenovo,4.1,(375 Reviews),Private,Quarry Bay + 58 more,17 years old,1k-5k Employees (India)
1630,LIC Housing Fina...,3.9,(295 Reviews),Public,"Mumbai,Maharashtra + 92 more",33 years old,1k-5k Employees (India)
1631,TCS eServe,3.9,(295 Reviews),Private,Mumbai + 30 more,15 years old,50k-1 Lakh Employees (India)
1632,Shyam Steel Indu...,3.6,(295 Reviews),Private,"Kolkata,West Bengal + 26 more",69 years old,1k-5k Employees (India)
1633,Vasudha Pharma C...,4.3,(295 Reviews),Public,"Hyderabad/Secunderabad,Telangana + 3 more",27 years old,1k-5k Employees (India)
1634,NCCCL,3.7,(295 Reviews),Private,"Mumbai,Maharashtra + 19 more",76 years old,1k-5k Employees (India)
1635,LG Soft India,3.7,(294 Reviews),Private,"Bangalore/Bengaluru,Karnataka + 9 more",26 years old,1k-5k Employees (India)
1636,Satyam Auto Comp...,4.0,(294 Reviews),Private,"Ludhiana,Punjab + 16 more",21 years old,1k-5k Employees (India)
1637,Roop Polymers,4.0,(294 Reviews),Public,"Gurgaon/Gurugram,Haryana + 16 more",49 years old,501-1k Employees (India)
1638,British Council,3.9,(294 Reviews),London + 18 more,88 years old,1k-5k Employees (India),
1639,Maveric Systems,3.8,(294 Reviews),Public,"Chennai,Tamil Nadu + 5 more",22 years old,1k-5k Employees (India)
1640,CtrlS,3.7,(414 Reviews),Private,Hyderabad + 11 more,15 years old,1k-5k Employees (India)
1641,Monte Carlo,4.2,(293 Reviews),Public,"San Francisco,California + 53 more",38 years old,201-500 Employees (India)
1642,ALLEN Career Ins...,4.1,(293 Reviews),Private,"Kota,Rajasthan + 36 more",34 years old,1k-5k Employees (India)
1643,ADFC,3.9,(293 Reviews),Private,Mumbai + 38 more,28 years old,1 Lakh+ Employees (India)
1644,Unimoni,3.9,(293 Reviews),Private,"Abu Dhabi,Dubai + 68 more",16 years old,1k-5k Employees (India)
1645,Otsuka Pharmaceu...,4.0,(293 Reviews),Private,"Chiyoda City,Tokyo + 23 more",10 years old,201-500 Employees (India)
1646,SS Supply Chain ...,4.6,(293 Reviews),Private,"Gurgaon,Haryana + 32 more",10 years old,201-500 Employees (India)
1647,Kirloskar Pneuma...,4.1,(292 Reviews),Public,"Pune,Maharashtra + 11 more",64 years old,501-1k Employees (India)
1648,Mahanagar Gas,4.1,(292 Reviews),Public,"Mumbai,Maharashtra + 17 more",27 years old,1k-5k Employees (India)
1649,Kirloskar Pneuma...,4.1,(292 Reviews),Public,"Pune,Maharashtra + 11 more",64 years old,501-1k Employees (India)
1650,Vikram Solar,3.9,(291 Reviews),Private,"Kolkata,West Bengal + 21 more",16 years old,1k-5k Employees (India)
1651,IIC Technologies,3.8,(291 Reviews),Public,"Hyderabad/Secunderabad,Telangana + 14 more",28 years old,1k-5k Employees (India)
1652,B. Braun Medical,4.1,(291 Reviews),Private,"Melsungen,Hesse + 40 more",183 years old,501-1k Employees (India)
1653,QHTalbros,3.9,(291 Reviews),Public,"Gurgaon/Gurugram,Haryana + 15 more",36 years old,5k-10k Employees (India)
1654,Rane NSK Steerin...,4.0,(291 Reviews),Bawal + 15 more,201-500 Employees (India),,
1655,NetConnectGlobal,3.7,(291 Reviews),Private,"Bangalore/Bengaluru,Karnataka + 38 more",25 years old,1k-5k Employees (India)
1656,Pennar Industrie...,3.7,(419 Reviews),Public,"Hyderabad/Secunderabad,Telangana + 17 more",34 years old,1k-5k Employees (India)
1657,Micron Electrica...,4.0,(290 Reviews),Private,"Bangalore/Bengaluru,Karnataka + 12 more",46 years old,1k-5k Employees (India)
1658,Giesecke & Devri...,4.1,(290 Reviews),Private,Munich + 38 more,170 years old,1k-5k Employees (India)
1659,Alight Solutions,3.9,(290 Reviews),Private,Lincolnshire + 9 more,26 years old,1k-5k Employees (India)
1660,Venky's,3.7,(290 Reviews),Public,"Pune,Maharashtra + 47 more",46 years old,5k-10k Employees (India)
1661,Manjushree Techn...,3.9,(290 Reviews),Private,"Bangalore/Bengaluru,Karnataka + 14 more",39 years old,1k-5k Employees (India)
1662,Bridgestone,4.3,(566 Reviews),Private,Tokyo + 36 more,26 years old,1k-5k Employees (India)
1663,Lafarge,4.1,(289 Reviews),Private,Paris + 70 more,189 years old,201-500 Employees (India)
1664,Aramex,3.8,(289 Reviews),Private,Dubai + 48 more,40 years old,1k-5k Employees (India)
1665,Veritas,4.2,(289 Reviews),Public,"Santa Clara,California + 15 more",39 years old,1k-5k Employees (India)
1666,ITSource Technol...,3.3,(289 Reviews),Public,"Mumbai,Maharashtra + 28 more",24 years old,201-500 Employees (India)
1667,FCC Clutch,4.2,(289 Reviews),Hamamatsu + 16 more,83 years old,201-500 Employees (India),
1668,Ssipl Lifestyle,4.0,(289 Reviews),Private,"Delhi/NCR,Delhi + 42 more",28 years old,1k-5k Employees (India)
1669,HyperCITY,4.5,(289 Reviews),Private,"Mumbai,Maharashtra + 19 more",18 years old,501-1k Employees (India)
1670,Nihilent,3.8,(289 Reviews),Private,"Pune,Maharashtra + 3 more",22 years old,501-1k Employees (India)
1671,Airports Authori...,4.4,(289 Reviews),Private,"Delhi/NCR,New Delhi + 63 more",27 years old,10k-50k Employees (India)
1672,IFB,3.8,(289 Reviews),Public,"Kolkata,West Bengal + 73 more",48 years old,201-500 Employees (India)
1673,SK E&C,4.4,(289 Reviews),Seoul + 37 more,45 years old,201-500 Employees (India),
1674,AT&T,4.4,(292 Reviews),Private,"Dallas,Texas + 12 more",39 years old,1k-5k Employees (India)
1675,Infor Global Sol...,4.1,(288 Reviews),Private,"New York City,New York + 5 more",20 years old,1k-5k Employees (India)
1676,SMC Global Secur...,3.6,(288 Reviews),Public,SMC Global Securities Ltd. + 46 more,28 years old,1k-5k Employees (India)
1677,Utility Powertec...,3.8,(288 Reviews),Private,"Noida,Uttar Pradesh + 49 more",27 years old,201-500 Employees (India)
1678,Royal Orchid Hot...,4.1,(288 Reviews),Public,"Bangalore/Bengaluru,Karnataka + 31 more",36 years old,5k-10k Employees (India)
1679,More Supermarket...,4.0,(288 Reviews),Mumbai + 62 more,15 years old,10k-50k Employees (India),
1680,Rebel Foods,3.9,(288 Reviews),Private,"Mumbai,Maharashtra + 36 more",10 years old,5k-10k Employees (India)
1681,Indecomm Global ...,3.7,(287 Reviews),Private,"Edison,New Jersey + 9 more",19 years old,1k-5k Employees (India)
1682,National Collate...,3.9,(287 Reviews),Mumbai + 63 more,18 years old,501-1k Employees (India),
1683,IVY Comptech,4.2,(286 Reviews),Private,"Hyderabad/Secunderabad,Telangana + 2 more",21 years old,1k-5k Employees (India)
1684,CareerNet Consul...,3.9,(286 Reviews),Private,Bangalore + 11 more,23 years old,1k-5k Employees (India)
1685,CTS Consulting &...,3.9,(285 Reviews),Private,Eysines + 21 more,14 years old,201-500 Employees (India)
1686,Carlsberg,4.1,(285 Reviews),Private,"Vesterbro,Copenhagen + 50 more",175 years old,1k-5k Employees (India)
1687,CompuCom,4.2,(285 Reviews),Private,"Fort Mill,South Carolina + 3 more",35 years old,1k-5k Employees (India)
